"214"	"1101"	0.686
"214"	"660"	0.684
"288"	"660"	0.683
"214"	"1237"	0.658
"64"	"214"	0.649
"1066"	"1220"	0.639
"660"	"1101"	0.625
"26"	"444"	0.623
"214"	"288"	0.615
"26"	"795"	0.609
"591"	"1220"	0.605
"288"	"1101"	0.6
"64"	"1101"	0.59
"288"	"1237"	0.581
"214"	"287"	0.581
"214"	"1346"	0.576
"288"	"444"	0.574
"64"	"288"	0.571
"450"	"1237"	0.564
"329"	"1066"	0.562
"64"	"660"	0.558
"1005"	"1220"	0.556
"288"	"656"	0.551
"13"	"444"	0.548
"26"	"368"	0.545
"288"	"591"	0.543
"146"	"1220"	0.543
"1204"	"1220"	0.541
"26"	"1181"	0.538
"243"	"1346"	0.536
"368"	"444"	0.535
"1220"	"1237"	0.535
"164"	"908"	0.534
"288"	"1047"	0.533
"214"	"243"	0.531
"444"	"795"	0.53
"1237"	"1287"	0.528
"287"	"660"	0.528
"214"	"1220"	0.525
"1101"	"1237"	0.524
"26"	"1287"	0.521
"444"	"1237"	0.518
"287"	"1101"	0.515
"214"	"327"	0.514
"231"	"1220"	0.513
"1070"	"1237"	0.511
"214"	"444"	0.509
"200"	"908"	0.509
"26"	"288"	0.508
"39"	"999"	0.5
"401"	"465"	0.497
"26"	"515"	0.494
"1181"	"1302"	0.492
"660"	"795"	0.491
"126"	"781"	0.491
"660"	"1047"	0.489
"352"	"1047"	0.489
"214"	"1047"	0.488
"288"	"450"	0.488
"401"	"1230"	0.487
"1220"	"1346"	0.486
"1066"	"1204"	0.486
"146"	"1066"	0.485
"26"	"1237"	0.484
"26"	"960"	0.484
"444"	"1047"	0.483
"13"	"368"	0.481
"481"	"1101"	0.48
"591"	"1237"	0.479
"444"	"908"	0.479
"875"	"1101"	0.478
"444"	"1181"	0.477
"26"	"660"	0.477
"26"	"64"	0.476
"64"	"231"	0.475
"736"	"1287"	0.475
"288"	"795"	0.474
"444"	"1101"	0.473
"64"	"1109"	0.472
"26"	"996"	0.471
"243"	"1101"	0.471
"725"	"1302"	0.47
"591"	"660"	0.469
"327"	"1346"	0.469
"1047"	"1070"	0.468
"26"	"1101"	0.468
"214"	"591"	0.467
"444"	"1070"	0.466
"13"	"26"	0.464
"34"	"1116"	0.464
"64"	"1332"	0.463
"726"	"996"	0.463
"26"	"591"	0.463
"26"	"1070"	0.462
"333"	"1212"	0.461
"216"	"795"	0.46
"660"	"875"	0.46
"214"	"1075"	0.459
"1040"	"1287"	0.459
"1287"	"1346"	0.429
