"135172"	"138453"	1
"108315"	"126381"	1
"107240"	"128463"	1
"103116"	"110281"	1
"96760"	"128463"	1
"96760"	"107240"	1
"88157"	"110281"	1
"88157"	"103116"	1
"83311"	"128463"	1
"83311"	"107240"	1
"83311"	"96760"	1
"75748"	"128463"	1
"75748"	"107240"	1
"75748"	"96760"	1
"75748"	"83311"	1
"75236"	"92501"	1
"63435"	"138453"	1
"63435"	"135172"	1
"62025"	"96815"	1
"58796"	"112383"	1
"57664"	"110281"	1
"57664"	"103116"	1
"57664"	"88157"	1
"55689"	"110281"	1
"55689"	"103116"	1
"55689"	"88157"	1
"55689"	"57664"	1
"50495"	"96815"	1
"50495"	"62025"	1
"46657"	"110281"	1
"46657"	"103116"	1
"46657"	"88157"	1
"46657"	"57664"	1
"46657"	"55689"	1
"36584"	"49437"	1
"34554"	"103532"	1
"34539"	"60129"	1
"31700"	"82226"	1
"26467"	"41075"	1
"26405"	"103266"	1
"26271"	"130003"	1
"24550"	"103266"	1
"24550"	"26405"	1
"21949"	"58901"	1
"21871"	"128463"	1
"21871"	"107240"	1
"21871"	"96760"	1
"21871"	"83311"	1
"21871"	"75748"	1
"19403"	"123828"	1
"18920"	"110136"	1
"17867"	"103532"	1
"17867"	"34554"	1
"14795"	"97333"	1
"7082"	"96815"	1
"7082"	"62025"	1
"7082"	"50495"	1
"5394"	"16139"	1
"4609"	"15216"	1
"2888"	"128463"	1
"2888"	"107240"	1
"2888"	"96760"	1
"2888"	"83311"	1
"2888"	"75748"	1
"2888"	"21871"	1
"432"	"26577"	1
"98693"	"100083"	0.975
"92278"	"124480"	0.975
"87762"	"93444"	0.971
"35593"	"36852"	0.967
"81333"	"138453"	0.96
"81333"	"135172"	0.96
"63435"	"81333"	0.96
"16139"	"96525"	0.96
"16139"	"23475"	0.96
"10888"	"48360"	0.96
"5394"	"96525"	0.96
"5394"	"23475"	0.96
"10396"	"104404"	0.954
"82130"	"123828"	0.952
"76920"	"103266"	0.952
"69531"	"110281"	0.952
"69531"	"103116"	0.952
"69531"	"88157"	0.952
"57664"	"69531"	0.952
"55689"	"69531"	0.952
"46657"	"69531"	0.952
"26405"	"76920"	0.952
"24550"	"76920"	0.952
"19403"	"82130"	0.952
"9127"	"89711"	0.952
"7793"	"90267"	0.952
"10296"	"56906"	0.95
"9188"	"86174"	0.944
"41731"	"129322"	0.941
"25490"	"129973"	0.941
"66988"	"82226"	0.935
"34554"	"133398"	0.935
"31700"	"66988"	0.935
"17867"	"133398"	0.935
